fips,earp_months_per_year,num_events,total_recovery_months,mean_recovery_per_event,max_recovery
01001,0.6219102297516904,21,923.6199093350914,43.981900444528165,178.6968325468422
01003,6.804680227425579,149,10105.860675773873,67.82456829378438,1113.7440124763064
01005,24.15939959460691,53,35879.94118069164,676.9800222772008,4192.941176963876
01007,0.9958698602489676,6,1479.00000036975,246.500000061625,1443.0000003607502
01009,0.0,3,0.0,0.0,0.0
01011,0.0,0,0.0,,
01013,53.36970534719006,74,79261.15387054098,1071.0966739262294,12208.615388371883
01015,0.0,1,0.0,0.0,0.0
01017,0.78602266611963,10,1167.348837317893,116.7348837317893,625.1162791279178
01019,0.0,1,0.0,0.0,0.0
01021,0.25209849604033574,12,374.40000005990396,31.200000004991995,163.20000002611198
01023,0.0,0,0.0,,
01025,43.489299179136744,75,64587.42860833567,861.165714777809,5749.714288999837
01027,0.07182293333333335,1,106.66666666666669,106.66666666666669,106.66666666666669
01031,11.430777113158898,86,16976.23357168577,197.39806478704384,1173.4598536719825
01035,798.3361474333446,97,1185636.0047425441,12223.05159528396,80232.00032092801
01037,0.0,0,0.0,,
01039,205.4776775524547,117,305161.8462477421,2608.2209081003602,31954.153855985896
01041,141.28019894128022,73,209820.00020982,2874.2465782167124,27525.000027525
01043,0.0,2,0.0,0.0,0.0
01045,50.14582700945834,70,74473.26315005546,1063.9037592865066,6214.73684145108
01047,18.901615725086636,28,28071.42858746939,1002.5510209810496,6694.28571811102
01049,0.0,1,0.0,0.0,0.0
01051,1.0166848486514486,18,1509.9130434126123,83.88405796736735,809.3478260517675
01053,226.45007761333335,133,336308.6666666667,2528.636591478697,19435.33333333333
01055,0.0,2,0.0,0.0,0.0
01057,0.0,0,0.0,,
01061,96.3619981723077,109,143110.46153846153,1312.940014114326,10491.384615384615
01063,10.494003910494005,13,15585.000015585,1198.846155045,5661.000005661
01065,6.382528644951808,9,9478.909087462214,1053.2121208291348,2711.999999013818
01067,17.576212986333772,64,26103.028167543547,407.8598151178679,4196.957746242425
01069,9.546320752616927,88,14177.563716126959,161.1086785923518,830.8509719940259
01071,0.0,1,0.0,0.0,0.0
01073,0.00970131963878373,5,14.407757802571853,2.8815515605143704,13.407757802571853
01075,0.0,0,0.0,,
01077,0.0,1,0.0,0.0,0.0
01081,0.14718313650057332,19,218.5866523607291,11.50456065056469,98.35737354108878
01085,0.0,0,0.0,,
01087,28.49197807320642,26,42314.39996614848,1627.4769217749415,13043.9999895648
01089,0.0,1,0.0,0.0,0.0
01091,0.0,0,0.0,,
01093,0.0,1,0.0,0.0,0.0
01095,0.0,1,0.0,0.0,0.0
01097,14.785789598252435,127,21958.8760481368,172.9045358121008,4972.555424308119
